ID,Предмет,Класс,Задание,ЕстьАудио,ЕстьКартинки
vpr_sd_945853,french,4,"Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Natacha Smirnova Moi, c’est Natacha, je suis Russe. J’habite Saint-Pétersbourg. Saint-Pétersbourg est situé sur la Neva. Mon papa et ma maman sont médecins tous les deux. Je partage la chambre av",Нет,Нет
vpr_sd_945883,french,4,Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Tim Morozov Tim habite à Moscou. Il a 10 ans. Moscou est la capitale de la Russie. Tim a une sœur et un frère. Il a un petit chaton Joule. Tim aime beaucoup son chaton. Tim aime jouer au football,Нет,Нет
vpr_sd_945854,french,4,"Ты услышишь сообщение. Для каждого предложения А − Е выбери один правильный вариант ответа из трёх предложенных (1, 2 или 3). Ты услышишь текст дважды. А. Lucie où a-t-elle invité Paul ? 1) Au zoo. 2) À son anniversaire. 3) Chez sa grand-mère. В. Pourquoi Paul ne peut pas accepter l’invitation de Lucie ? 1) Il est malade. 2) Il va partir. 3) Il préfère aller jouer au tennis. * accepter l’invitatio",Да,Нет
vpr_sd_945875,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Petya se repose à la mer avec A ____parents. Il aime les vacances. Sa mère et son père B ______aussi se détendre à la mer. Ils C ________beaucoup de photos, se promènent, achètent D ________souvenirs. "" Venez ici chaque été "", dit Petya.",Нет,Нет
vpr_sd_945861,french,4,Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Zhenya Morozov Zhenya habite à Moscou. Il a 10 ans. Moscou est la capitale de la Russie. Zhenya a une sœur et un frère. Il a un petit chaton Tim. Zhenya aime jouer au football. Il veut devenir un,Нет,Нет
vpr_sd_945917,french,4,"Ты услышишь сообщение. Для каждого предложения А − Е выбери один правильный вариант ответа из трёх предложенных (1, 2 или 3). Ты услышишь текст дважды. А. Pourquoi Michel ne peut pas accepter l’invitation d’Adrien ? 1) Il est à l’école. 2) Il joue au football. 3) Il est malade. В. Michel, où est-ce qu’il a mal ? 1) Il a mal aux dents. 2) Il a mal au ventre. 3) Il a mal à la gorge. С. Qu’est-ce que",Да,Нет
vpr_sd_945880,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Mon chat Salut. Je m'appelle Marie. J'ai 9 ans. J`habite avec ma maman et mon papa. Mes parents m'ont offert un chaton. Il s'appelle Piff. Il est petit. Il est blanc. Nous aimons jouer ensemble. Piff aime boire du lait et manger sa nourriture. Il dort toujours sur mon lit. Maman d",Нет,Нет
vpr_sd_945858,french,4,"Ты услышишь сообщение. Для каждого предложения А − Е выбери один правильный вариант ответа из трёх предложенных (1, 2 или 3). Ты услышишь текст дважды. А. Où va partir Paul ? 1) Au zoo. 2) À la campagne. 3) Au stade. В. À combien de kilomètres habite la grand-mère de Paul ? 1) À 100 kilomètres. 2) À 200 kilomètres. 3) À 300 kilomètres. С. Quels animaux vivent à la ferme de la grand-mère de Paul ? ",Да,Нет
vpr_sd_945869,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Hier, nous A ______ rendre visite à notre ami Andrei. Andrei est dans B ___________ classe. On va à la musique et à l'informatique ensemble. Nous C ___________ensemble après les cours dans notre cour pour jouer. La mère d'Andrei nous tra",Нет,Нет
vpr_sd_945878,french,4,Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Anna Souricova Anna habite à Moscou. Elle a 10 ans. Moscou est la capitale de la Russie. Anna a une sœur et un frère. Elle a un petit chiot Tom. Anna aime dessiner. Elle veut devenir un paintre c,Нет,Нет
vpr_sd_945857,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Hier, A ____nouvel élève est venu nous voir en classe. Il s'appelle Vova. Vova habitait à Saratov. C`est B _____très belle ville de la Russie. Vova a 10 ans. Vova a une sœur et deux frères. Vova aime beaucoup les chats. Il a un chat gris",Нет,Нет
vpr_sd_945849,french,4,"Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Ivan Plotnikov Je m’appelle Ivan. Mon nom est Plotnikov. J’ai 10 ans. La date de mon anniversaire est le 10 janvier. C’est mon mois préféré. J’habite Rostov avec ma grand-mère, mon père, ma mère ",Нет,Нет
vpr_sd_945867,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Mon chat Salut. Je m'appelle Alex. J'ai 9 ans. J`habite avec ma maman et mon papa. Mes parents m'ont offert un chaton. Il s'appelle Snowball. Il est petit. Il est blanc. Nous aimons jouer ensemble. Snowball aime boire du lait et manger sa nourriture. Il dort toujours sur mon lit. ",Нет,Нет
vpr_sd_945884,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Vitya et ses amis Vitya est un petit garçon. Il a neuf ans. Il habite avec ses parents. Vitya est un petit garçon aux yeux bleus. Il va au cinéma avec ses amis. C’est dimanche aujourd’hui. Mais il reste à la maison et il se répose. Aujourd'hui, le garçon a une journée libre et il ",Нет,Нет
vpr_sd_945866,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Mon école C'est l'automne. Les vacances d'été sont terminées. Il faut aller à l'école et apprendre beaucoup de tâches intéressantes. J'aime l'école. Mon école n'est pas loin de chez moi. Elle est blanche avec un toit sombre. L'école a deux étages. J'aime apprendre. Ma leçon préfér",Нет,Нет
vpr_sd_945865,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Ma famille Je m'appelle Andrei. J'ai 10 ans. J'ai une grande famille. J'ai maman et papa, deux frères et une petite soeur. Je vais à l'école tous les jours et j'aime beaucoup le dessin et l'éducation physique. Je n'aime pas les cours de musique parce que je n'aime pas vraiment cha",Нет,Нет
vpr_sd_945859,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Martine à la mer Martine et son amie Nicole passent leurs grandes vacances chez l'oncle François au bord de la mer. Le cousin Michel accourt aussitôt. — Vite, allons jouer sur la plage, dit-il. Tous les trois courent à la mer. Les enfants enlèvent leurs chaussures pour aller dans ",Нет,Нет
vpr_sd_945885,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Ma ville Je m`appelle Darine. J`habite avec ma famille. Ma famille est grande. Ma mère s’appelle Poline. Mon père s’appelle Alex. J`ai encore deux soeurs. Ma ville est grande et belle. Les maisons sont hautes. Les ruеs sont larges. Les ruеs et les places sont propres. Nous aimons ",Нет,Нет
vpr_sd_945918,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Alice Lebrun Nous sommes en hiver. C’est le 16 décembre, demain il n’y a pas de classes. Il fait froid, il gèle depuis quelques jours. Et il neige. Il ne neige pas souvent à Avignon, mais aujourd’hui, la neige tombe partout. Quel temps ! Alice habite à Avignon avec ses parents. El",Нет,Нет
vpr_sd_945863,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Une fois, nous A ____ dans la forêt pour les champignons. B _____ grand-père et moi aimons ramasser des champignons. Mon grand-père connaît bien la forêt et me raconte beaucoup d'histoires C _________. Dans la forêt, nous avons rencontré",Нет,Нет
vpr_sd_945874,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Hier Olga A _____ ses amis à son anniversaire. Elle montre B _____ jouets dans la chambre. Son chat Pat est dans la pièce. Il C _____ gris. Maman est venue et a appelé des amis à boire du thé avec D ________ gâteaux. Les enfants E ______",Нет,Нет
vpr_sd_945873,french,4,Помоги своему другу заполнить анкету для сайта «Друзья онлайн». Прочитай текст и запиши информацию в таблицу. Под каждым номером запиши только одно слово (без артиклей). Числа необходимо записать словами. Olga Ivanova Olga habite à Tver. C`est une belle ville. Elle a 10 ans. Olga a une sœur et deux frères. Elle a un petit chaton Pic. Elle l`aime beaucoup. Olga aime dessiner et danser. Elle veut de,Нет,Нет
vpr_sd_945914,french,4,"Прочитай текст. Для каждого предложения А − Е выбери один правильный вариант ответа из трех предложенных (1, 2 или 3). Masha et sa famille C'est l'hiver. Il fait beau. Il neige parfois. Masha habite dans une belle ville. Masha a 10 ans et elle aime aller à l'école. Son école est juste à côté de la maison. Masha peut aller à l'école à pied. Chaque matin, Masha prend son sac à dos. Elle prend ses ma",Нет,Нет
vpr_sd_945898,french,4,"Прочитай рассказ. Вставь вместо каждого пропуска, обозначенного буквами А − Е, нужную грамматическую форму, выбрав её из трёх предложенных вариантов (1, 2 или 3). Petya a invité A _____ amis pour le Nouvel An. Il B _____ l'arbre de Noël et sa chambre. Ses amis viennent chez lui avec des C _____. Les enfants jouent, chantent, s'amusent. « Il est temps de manger ! », dit D _____ de Petya. Tout le mo",Нет,Нет
