ID,Предмет,Класс,Задание,Картинки,Файл
vpr_sd_946100,biology,5,"В каком из органов бодяка полевого: корень, лист, соцветие, плод образуются вещества, привлекающие насекомых?",Нет,vpr_biology_5.json
vpr_sd_946107,biology,5,"Ниже названы органы растения. Все они, за исключением одного, участвуют в вегетативном размножении. Выпишите часть растения, которая «выпадает» из общего ряда и выполняет другую функцию. Объясните свой выбор. Побег, корневище, соцветие, лист.",Нет,vpr_biology_5.json
vpr_sd_945709,biology,5,"У дуба весной на концах побегов может появиться сразу несколько новых молодых побегов. Найдите в приведённом списке и запишите название этого процесса. Дыхание, размножение, ветвление, рост, плодоношение.",Нет,vpr_biology_5.json
vpr_sd_945406,biology,5,"Опишите лист вишни по следующему плану: тип листа; жилкование листа; край листа. Используйте при выполнении задания линейку и карандаш. А. Тип листа 1) черешковый 2) сидячий Б. Жилкование листа В. Край листа Запишите в ответ цифры, расположив их в порядке, соответствующем буквам: A Б В",Да,vpr_biology_5.json
vpr_sd_945267,biology,5,"Во время строительных работ на даче на кисть руки строителя упало бревно. Припухлость, боль, деформация кисти и хруст говорят о признаках перелома костей кисти. Вам необходимо оказать первую доврачебную помощь. Выберите из предложенных вариантов и определите очередность ваших действий: 1) фиксировать предплечье и кисть к шине, которая идет от конца пальцев до середины предплечья; 2) дать обезболивающее средство; 3) обработать рану дезинфицирующим раствором; 4) в ладонь вложить туго свернутый ват",Нет,vpr_biology_5.json
vpr_sd_945911,biology,5,"Используя таблицу «Состав семян», ответьте на вопросы. Состав семян Семена Содержание веществ, в % Вода Белки, жиры, углеводы Минеральные соли Пшеница 13,4 84,7 1,9 Подсолнечник 6,7 89,8 3,5 Горох 14,0 83,6 2,4 Лён 8,0 87,4 4,6 В семенах какого растения содержится больше всего минеральных солей? В семенах каких растений содержится более 10% воды? В семенах какого растения содержится большего всего белков, жиров и углеводов?",Нет,vpr_biology_5.json
vpr_sd_946062,biology,5,"Ниже приведены изображения указанных в таблице растений. Подпишите под каждым изображением название соответствующего растения. Химический состав семян злаковых и бобовых Семена Содержание веществ, в % Вода Белки Жиры (масла) Углеводы Минеральные соли Арахис 13,4 26,3 45,2 9,9 5,2 Фасоль 14,0 22,3 1,7 58,4 3,6 Рис 15,0 7,4 0,4 76,4 0,8 Овёс 15,0 13,0 7,0 63,0 2,0 A Б В Г",Да,vpr_biology_5.json
vpr_sd_946037,biology,5,"Прочитайте утверждения о живой природе и деятельности человека. Составьте графические записи этих утверждений. Выбирайте нужные символы из списка и группируйте их в правильной последовательности. В ответе запишите последовательность соответствующих утверждению цифр. Природа даёт человеку пищу, одежду, жильё . Запишите в ответ цифры, расположив их в порядке, соответствующем буквам: A Б В Г Д",Да,vpr_biology_5.json
vpr_sd_945317,biology,5,"(1)Лисица обыкновенная – хищное животное массой до 10 кг, широко распространённое на территории Евразии, Северной Америки. (2)Лисица – зверь среднего размера с изящным туловищем на невысоких тонких лапах, с вытянутой мордой, острыми ушами и длинным пушистым хвостом. (3)Самки лисицы рождают живых детёнышей и выкармливают их молоком. (4)Мех у лисицы густой, длинный, рыжего цвета, хорошо удерживающий тепло, поэтому зверь издавна был объектом мехового промысла. (5)Лисицы охотятся в основном на мышей",Нет,vpr_biology_5.json
vpr_sd_946052,biology,5,"Прочитайте текст и выполните задание. (1) Внешне амёба протей напоминает маленький студенистый комочек. (2) Передвигаясь, амёба медленно как бы перетекает по дну. (3) Самостоятельный одноклеточный организм амёбы состоит из цитоплазмы, покрытой клеточной мембраной. (4) Амёба дышит растворённым в воде кислородом, который проникает внутрь через всю поверхность тела. (5) В теле амёбы можно различить ядро, пищеварительные и сократительную вакуоли. (6) Размножается амёба бесполым путём. Дайте описание",Да,vpr_biology_5.json
vpr_sd_945235,biology,5,"Задание НИКО №E87B67. Заполни пропуски в таблице «Природные зоны», используя названия и описания из приведённого ниже списка. Запиши на место каждого пропуска номер выбранного названия или описания. Природные зоны Зона Животное Растение Природные условия Пустыня Список названий и описаний природных условий: 1) лиственница 2) жаркий климат, небольшое количество выпадающих осадков 3) тушканчик 4) устойчивый снежный покров, холодные продолжительные зимы 5) бобр 6) саксаул Запишите номера по порядку",Нет,vpr_biology_5.json
vpr_sd_945212,biology,5,Задание НИКО №7586A5. Внимательно рассмотри знак. Где можно встретить данный знак? Какое правило установлено этим знаком? Напиши это правило.,Да,vpr_biology_5.json
vpr_sd_945168,biology,5,"1. На фотографии изображен представитель одной из профессий. Определите эту профессию. 2. Напишите, какую работу выполняют люди этой профессии. 3. Какие качества ы считаешь наиболее важными для людей этой профессии? Назови два-три качества",Да,vpr_biology_5.json
vpr_sd_945300,biology,5,"В приведённом ниже списке названы структуры, образующие бактериальную клетку. Все они, за исключением одной, постоянны. Выпишите название структуры, которая «выпадает» из общего ряда и образуется только при определённых условиях. Объясните свой выбор. Цитоплазма, спора, клеточная стенка, жгутик.",Нет,vpr_biology_5.json
vpr_sd_945678,biology,5,"Опишите лист монстеры по следующему плану: тип листа; жилкование листа; тип листа по соотношению длины, ширины, расположению наиболее широкой части. Используйте при выполнении задания линейку и карандаш. А. Тип листа 1) черешковый 2) сидячий Б. Жилкование листа В. Тип листа по соотношению длины, ширины и по расположению наиболее широкой части. Впишите в таблицу цифры выбранных ответов под соответствующими буквами. A Б В",Да,vpr_biology_5.json
vpr_sd_945279,biology,5,Установите последовательность действий при вегетативном размножении комнатных растений на примере традесканции. В ответе запишите соответствующую последовательность цифр. 1) для уменьшения испарения воды накройте черенки стеклянной банкой 2) посадите черенки наклонно в увлажнённый песок 3) нарежьте стеблевые черенки с 3–4 листьями 4) после образования придаточных корней пересадите растения в горшки с почвой 5) подобрать крупное здоровое растение,Нет,vpr_biology_5.json
vpr_sd_945895,biology,5,"Используя таблицу «Содержание питательных веществ в семенах растений», ответьте на вопросы. Содержание питательных веществ в семенах растений Название растений Содержание питательных веществ в 100 г семян (г) Белки Углеводы (крахмал) Жиры Ячмень 9,5 64 2,1 Горох 20,5 43,5 2 Гречиха 10 53 3,2 Подсолнечник 26 5 53 В семенах какого растения содержится наименьшее количество жиров? В семенах каких растений содержание углеводов более 50 г? В 100 г семян какого растения содержится больше всего белков?",Нет,vpr_biology_5.json
vpr_sd_946056,biology,5,"Ниже приведены фотографии растений, указанных в таблице. Подпишите под каждой фотографией название растений. Содержание питательных веществ в семенах растений Название растений Содержание питательных веществ в 100 г семян (г) Белки Углеводы (крахмал) Жиры Ячмень 9,5 64 2,1 Горох 20,5 43,5 2 Гречиха 10 53 3,2 Подсолнечник 26 5 53 A Б В Г",Да,vpr_biology_5.json
vpr_sd_946057,biology,5,"Эти растения человек использует при приготовлении пищи. Под каждой из приведённых ниже изображений подпишите указанное(-ые) в таблице растение(-ия), из которого(-ых) сделано то, что изображено. Содержание питательных веществ в семенах растений Название растений Содержание питательных веществ в 100 г семян (г) Белки Углеводы (крахмал) Жиры Ячмень 9,5 64 2,1 Горох 20,5 43,5 2 Гречиха 10 53 3,2 Подсолнечник 26 5 53 A Б В",Да,vpr_biology_5.json
vpr_sd_945888,biology,5,"Прочитайте текст и сравните описание моркови и редиса. В ответе укажите два сходства этих растений. Морковь — один из древнейших двулетников, который возделывают 4000 лет‚ сначала как лекарственное, а затем как пищевое и кормовое растение. В диком виде растение встречается в Европе, Азии, Северной Африки. Для получения раннего урожая морковь сеют с середины апреля до начала мая. Мясистые, ярко окрашенные корнеплоды являются ценным пищевым продуктом. Редис — одно из самых популярных однолетних ов",Да,vpr_biology_5.json
vpr_sd_946063,biology,5,"Прочитайте текст и сравните описание моркови и редиса. В ответе укажите два различия этих растений. Морковь — один из древнейших двулетников, который возделывают 4000 лет‚ сначала как лекарственное, а затем как пищевое и кормовое растение. В диком виде растение встречается в Европе, Азии, Северной Африки. Для получения раннего урожая морковь сеют с середины апреля до начала мая. Мясистые, ярко окрашенные корнеплоды являются ценным пищевым продуктом. Редис — одно из самых популярных однолетних ов",Да,vpr_biology_5.json
vpr_sd_945229,biology,5,"Задание НИКО №A750A2. Заполни пропуски в таблице «Природные зоны», используя названия и описания из приведённого ниже списка. Запиши на место каждого пропуска номер выбранного названия или описания. Природные зоны Зона Животное Растение Природные условия Жаркий климат, небольшое количество выпадающих осадков Список названий и описаний природных условий: 1) ель 2) белка 3) верблюд 4) саксаул 5) лес 6) пустыня Запишите номера по порядку в таблице.",Нет,vpr_biology_5.json
vpr_sd_945209,biology,5,"Как Вы думаете, какое правило устанавливается изображённым на рисунке знаком? Напишите в ответе это правило и укажите место, где можно встретить такой знак",Да,vpr_biology_5.json
vpr_sd_945189,biology,5,"1. На фотографии изображен представитель одной из профессий. Определите эту профессию. 2. Напишите, какую работу выполняют люди этой профессии. 3. Чем эта работа полезна обществу?",Да,vpr_biology_5.json
vpr_sd_946080,biology,5,"В каком из органов оливы: корень, стебель, лист, плод в течение всего лета происходит образование и накопление растительного масла?",Нет,vpr_biology_5.json
vpr_sd_946087,biology,5,"В приведённом ниже списке названы органы растения. Все они, за исключением одного, участвуют в снабжении частей растения водой. Выпишите часть растения, которая «выпадает» из общего ряда и выполняет другую функцию. Объясните свой выбор. Побег, плод, корень, ствол.",Нет,vpr_biology_5.json
vpr_sd_945324,biology,5,"У смородины ранней весной появляются молодые стебли с листьями. Найдите в приведённом ниже списке и запишите название этого процесса. Дыхание, питание, рост, плодоношение.",Нет,vpr_biology_5.json
vpr_sd_945277,biology,5,"Установите правильную последовательность действий при работе с микроскопом. 1) В отверстие предметного столика направить зеркалом свет. 2) Поставить штативом к себе на расстоянии 5-10 см от края стола. 3) Поместить препарат на предметный столик. 4) Поднять тубус так, чтобы нижний край объектива оказался на расстоянии 1-2 мм от препарата. 5) Глядя в окуляр, медленно поворачивая винт, настроить резкость",Нет,vpr_biology_5.json
vpr_sd_945879,biology,5,"Используя таблицу «Содержание сахара и витаминов в подземных частях растений», ответьте на вопросы. Содержание сахара и витаминов в подземных частях растений Подземные части растений Содержание веществ, в % Сахар Крахмал Витамин А Морковь 15 1,4 0,018 Свёкла 20 1,7 0,010 Редис 1,9 1,6 0,004 Картофель 1,3 29,4 0,003 Подземные части какого растения содержат больше всего сахара? В подземных частях какого растения содержится больше 10% крахмала? В подземных частях каких растений содержится меньше 0,",Нет,vpr_biology_5.json
vpr_sd_946051,biology,5,"Ниже приведены рисунки растений, указанных в таблице. Подпишите под каждой картинкой название соответствующего растения. Содержание сахара и витаминов в подземных частях растений Подземные части растений Содержание веществ, в % Сахар Крахмал Витамин А Морковь 15 1,4 0,018 Свёкла 20 1,7 0,010 Редис 1,9 1,6 0,004 Картофель 1,3 29,4 0,003 A Б В Г",Да,vpr_biology_5.json
vpr_sd_946044,biology,5,"Некоторые из этих растений используют для изготовления продуктов питания. Под каждой из приведённых ниже иллюстраций подпишите соответствующее растение, которое используют для их изготовления. Содержание сахара и витаминов в подземных частях растений Подземные части растений Содержание веществ, в % Сахар Крахмал Витамин А Морковь 15 1,4 0,018 Свёкла 20 1,7 0,010 Редис 1,9 1,6 0,004 Картофель 1,3 29,4 0,003 A Б В",Да,vpr_biology_5.json
vpr_sd_945935,biology,5,"Прочитайте текст и выполните задание. (1)Рысь — крупная кошка, имеющая длину тела 82—105 см, с коротким, словно обрубленным хвостом, мохнатыми лапами, пышными «бакенбардами» и кисточками на ушах. (2)Мех у рыси густой, палево-серый или рыжеватый, спина, бока и ноги покрыты тёмными пятнами. (3)Пищей ей служат мыши, зайцы, лисицы, олени, как и большинство кошек, рысь подкарауливает свою добычу из засады. (4)Весной или в начале лета самка производит на свет от 2 до 5 котят в логове из бурелома под к",Нет,vpr_biology_5.json
vpr_sd_945931,biology,5,"Прочитайте текст и выполните задание. (1)Рысь — крупная кошка, имеющая длину тела 82—105 см, с коротким, словно обрубленным хвостом, мохнатыми лапами, пышными «бакенбардами» и кисточками на ушах. (2)Мех у рыси густой, палево-серый или рыжеватый, спина, бока и ноги покрыты тёмными пятнами. (3)Пищей ей служат мыши, зайцы, лисицы, олени, как и большинство кошек, рысь подкарауливает свою добычу из засады. (4)Весной или в начале лета самка производит на свет от 2 до 5 котят в логове из бурелома под к",Да,vpr_biology_5.json
vpr_sd_945242,biology,5,"Задание НИКО №3B05BE. Заполни пропуски в таблице «Природные зоны», используя названия и описания из приведённого ниже списка. Запиши на место каждого пропуска номер выбранного названия или описания. Природные зоны Зона Животное Растение Природные условия Лемминг Список названий и описаний природных условий: 1) тундра 2) тюльпан 3) жаркое лето и холодная малоснежная зима 4) степь 5) холодный климат, короткое лето и продолжительная зима 6) карликовая ива Запишите номера по порядку в таблице.",Нет,vpr_biology_5.json
vpr_sd_945203,biology,5,"Как Вы думаете, какое правило устанавливается изображённым на рисунке знаком? Напишите в ответе это правило и укажите место, где можно встретить такой знак",Да,vpr_biology_5.json
vpr_sd_945176,biology,5,"1. На фотографии изображен представитель одной из профессий. Определите эту профессию. 2. Напишите, какую работу выполняют люди этой профессии. 3. Какие качества характера ты считаешь наиболее важными для людей этой профессии? Назови два-три качества и поясни свой выбор.",Да,vpr_biology_5.json
vpr_sd_945352,biology,5,"В приведённом ниже списке названы части гриба. Все они, за исключением одной, выполняют функцию полового размножения. Выпишите часть гриба, которая к «выпадает» из общего ряда и выполняет другую функцию. Объясните свой выбор. Шляпка, ножка, спора, грибница.",Нет,vpr_biology_5.json
vpr_sd_946165,biology,5,"Все живые клетки растения активно поглощают кислород для окисления органических веществ и получения энергии. При этом образуется углекислый газ и вода. Найдите в приведённом списке и запишите название этого процесса. Дыхание, размножение, питание, рост, плодоношение.",Нет,vpr_biology_5.json
vpr_sd_945937,biology,5,"Опишите лист люфы по следующему плану: тип листа; жилкование листа; форма листа по соотношению длины, ширины и по расположению наиболее широкой части. Используйте при выполнении задания линейку и карандаш. А. Тип листа 1) черешковый 2) сидячий Б. Жилкование листа В. Тип листа по соотношению длины, ширины и по расположению наиболее широкой части. Запишите в ответ цифры, расположив их в порядке, соответствующем буквам: A Б В",Да,vpr_biology_5.json
vpr_sd_945286,biology,5,"Расположите в правильном порядке пункты инструкции по вегетативному размножению черенками чёрной смородины. В ответе запишите соответствующую последовательность цифр. 1) Срежьте однолетний побег с куста смородины. 2) Высадите черенки в почву так, чтобы на поверхности была одна почка. 3) Обильно полейте почву. 4) Высадите проросшие черенки на новое место. 5) Разделите побег на части — черенки с тремя-четырьмя почками.",Нет,vpr_biology_5.json
vpr_sd_945855,biology,5,"Используя таблицы «Количество влаги для прорастания семян» и «Минимальная температура прорастания семян», ответьте на вопросы. Количество влаги для прорастания семян Минимальная температура прорастания семян Просо 38% Кукуруза 49% Пшеница 69% Рожь 85% Лён 100% Горох 114% Клевер 145% Дыня выше +15 °С Огурец от +12 °С до +15 °С Томат от +10 °С до +12 °С Кукуруза от +8 °С до +10 °С Пшеница от +3 °С до +5 °С Горох, редис от +2 °С до +3 °С Клевер, рожь от +1 °С до +2 °С Для прорастания каких семян не",Нет,vpr_biology_5.json
vpr_sd_946042,biology,5,"Ниже приведены изображения растений, указанных в таблице. Подпишите под каждым изображением название соответствующего растения. Количество влаги для прорастания семян Минимальная температура прорастания семян Просо 38% Кукуруза 49% Пшеница 69% Рожь 85% Лён 100% Горох 114% Клевер 145% Дыня выше +15 °С Огурец от +12 °С до +15 °С Томат от +10 °С до +12 °С Кукуруза от +8 °С до +10 °С Пшеница от +13 °С до +5 °С Горох, редис от +2 °С до +3 °С Клевер, рожь от +1 °С до +2 °С A Б В Г",Нет,vpr_biology_5.json
vpr_sd_946043,biology,5,"Из этих растений производят текстиль и продукты питания. Под каждой из приведённых ниже фотографий подпишите соответствующее растение, которое используют для их изготовления. Количество влаги для прорастания семян Минимальная температура прорастания семян Просо 38% Кукуруза 49% Пшеница 69% Рожь 85% Лён 100% Горох 114% Клевер 145% Дыня выше +15 °С Огурец от +12 °С до +15 °С Томат от +10 °С до +12 °С Кукуруза от +8 °С до +10 °С Пшеница от +13 °С до +5 °С Горох, редис от +2 °С до +3 °С Клевер, рожь",Нет,vpr_biology_5.json
vpr_sd_945864,biology,5,"Прочитайте текст и выполните задание. (1) Коза — одно из первых животных, которых приручил человек. (2) Коза мельче овцы и во взрослом состоянии весит около 35 кг. (3) Тело покрыто прямой и густой шерстью, у ангорских коз шерсть длинная и шелковистая. (4) Цвет шерсти бывает от чисто белой до тёмно-бурой, чёрной и пёстрой. (5) На протяжении многих веков из козьей шерсти изготавливают ткани. (6) Коза — нетребовательное животное, довольствуется очень скудными пастбищами, её легко содержать. На осно",Нет,vpr_biology_5.json
